epoch,lr,loss,fire_loss,other_loss,effective_rollout_steps,teacher_forcing_ratio,prob_mae_mean,best_iou_mean,spread_iou_at_best,dice_at_best,recall_at_best,mpd_at_best,save_thr,ious_by_thr
54,1.0286124377900624e-05,3.5246415615081785,1.5720728158950805,0.43518477082252505,3,0.6142857142857143,0.17323453686176202,0.9158993831224316,0.5814946725753682,0.9476925937303173,0.9665062615591004,0.5062805525493843,0.6,"{0.2: 0.442112896820431, 0.3: 0.7878067568096989, 0.4: 0.8820481983478675, 0.5: 0.9053639244360939, 0.6: 0.9158993831224316, 0.7: 0.9107343592045422, 0.8: 0.8950613480981627}"
59,0.0002954445583636515,3.530298948287964,1.589360761642456,0.40800936222076417,3,0.5785714285714285,0.1619403866621164,0.9182768561238944,0.5982847468582921,0.9487263034146196,0.9664143286460573,0.4870155008102772,0.6,"{0.2: 0.5231143548846716, 0.3: 0.8334569385149928, 0.4: 0.8909490913603355, 0.5: 0.9094290819804487, 0.6: 0.9182768561238944, 0.7: 0.9142316526533173, 0.8: 0.8995572556415612}"
64,0.0002774275491977922,4.374220752716065,1.957865262031555,0.5170403480529785,4,0.5428571428571429,0.1515299528837204,0.9210004525246694,0.6117468227652305,0.9500982307763576,0.9669408352339891,0.4668905657490284,0.6,"{0.2: 0.5912831284495957, 0.3: 0.8576392231756447, 0.4: 0.8983642616034988, 0.5: 0.9129351681550835, 0.6: 0.9210004525246694, 0.7: 0.916866707355976, 0.8: 0.9033053910484256}"
69,0.00024742647851355997,4.3000823020935055,1.9456269025802613,0.4672504425048828,4,0.5071428571428571,0.14232685856330088,0.9225725712500823,0.6217204132961405,0.9508534350893169,0.9673681397115379,0.4529947930505571,0.6,"{0.2: 0.6463395686505041, 0.3: 0.8723585204286436, 0.4: 0.903426227896661, 0.5: 0.9156836804476715, 0.6: 0.9225725712500823, 0.7: 0.9206057174911582, 0.8: 0.907713750213345}"
74,0.0002083780601392783,4.242132997512817,1.9182483911514283,0.4511372625827789,4,0.4714285714285714,0.13411292261802232,0.9249188512374934,0.6319710426119194,0.9522570458201844,0.9679794607254311,0.4367474455901409,0.6,"{0.2: 0.688330332775658, 0.3: 0.8835339343534324, 0.4: 0.9088060957624594, 0.5: 0.9187399829588444, 0.6: 0.9249188512374934, 0.7: 0.9227469365560099, 0.8: 0.9119156199173807}"
79,0.00016410462533175042,4.31467113494873,1.9542977571487428,0.46420125365257264,4,0.4357142857142857,0.12699192666854614,0.9271458765738646,0.6423745135629002,0.9534756656275283,0.9687332106835953,0.4200898087831115,0.6,"{0.2: 0.7235195667817472, 0.3: 0.8929514104291696, 0.4: 0.912258145424808, 0.5: 0.9221703865782879, 0.6: 0.9271458765738646, 0.7: 0.9253927985311251, 0.8: 0.9150448637896815}"
84,0.00011893996636109602,4.225943088531494,1.9196109294891357,0.4369042873382568,4,0.4,0.12092882375686596,0.9290890736691381,0.6532553935620549,0.9546058972414682,0.9698963597410444,0.40785819498894293,0.6,"{0.2: 0.7589190965713035, 0.3: 0.8995365433305181, 0.4: 0.9161779567748781, 0.5: 0.9247623940735615, 0.6: 0.9290890736691381, 0.7: 0.9269169825883327, 0.8: 0.9188391406650499}"
89,7.730511472804544e-05,4.243942832946777,1.9217057943344116,0.4453739643096924,4,0.3642857142857143,0.11571035400415078,0.9305987328435769,0.6603819053713575,0.9555209186105472,0.9702737844942041,0.3995955154526044,0.6,"{0.2: 0.8036632356998487, 0.3: 0.9051160222352167, 0.4: 0.9200188507960956, 0.5: 0.9272890539048328, 0.6: 0.9305987328435769, 0.7: 0.9286547250605267, 0.8: 0.921227961577759}"
94,4.327557979751057e-05,4.199790096282959,1.9047274589538574,0.44034187197685243,4,0.3285714285714286,0.1112986331184705,0.9322283443943653,0.6675040372597822,0.9566238955679487,0.9712932207904847,0.388644160562997,0.6,"{0.2: 0.8431872114411385, 0.3: 0.9096335620621625, 0.4: 0.9228200305285824, 0.5: 0.9289759557033457, 0.6: 0.9322283443943653, 0.7: 0.9305350133842604, 0.8: 0.9230754826437186}"
99,2.0182409546203555e-05,4.194631099700928,1.9074486255645753,0.4229551017284393,4,0.2928571428571428,0.10756546946672293,0.9333098640940531,0.6710853599065604,0.9574239790906867,0.9717697894194058,0.37978070352734594,0.6,"{0.2: 0.8723127809032624, 0.3: 0.9134337615742582, 0.4: 0.9252563232493373, 0.5: 0.9307244986127363, 0.6: 0.9333098640940531, 0.7: 0.9316446696718026, 0.8: 0.9241959181276663}"
104,1.0286124377900624e-05,4.158906602859497,1.8938458681106567,0.4149709403514862,4,0.2571428571428571,0.10442725893778679,0.9346283018535835,0.6772164008238027,0.9582485024610531,0.9721196508766635,0.37204906397123594,0.6,"{0.2: 0.8844937051844539, 0.3: 0.9170347251114708, 0.4: 0.9270904078132032, 0.5: 0.932382817711524, 0.6: 0.9346283018535835, 0.7: 0.9325554028543394, 0.8: 0.926315108787326}"
109,0.0002954445583636515,4.282904052734375,1.9622403860092164,0.43615238070487977,4,0.22142857142857153,0.10167016719396298,0.9360462074153103,0.6886242743424373,0.9590562755670617,0.9729513908057393,0.36163482754597903,0.6,"{0.2: 0.8923051985083936, 0.3: 0.9201387570359872, 0.4: 0.9291621278854763, 0.5: 0.9346501670818669, 0.6: 0.9360462074153103, 0.7: 0.9345404799842506, 0.8: 0.9285975129990499}"
114,0.0002774275491977922,4.21478853225708,1.9282912969589234,0.4115116477012634,4,0.18571428571428572,0.09934225621131751,0.9373515783052676,0.6937914953943377,0.9598820991906754,0.973051237397153,0.3522782790424804,0.6,"{0.2: 0.8977362866432969, 0.3: 0.9230753901169079, 0.4: 0.9310961332586626, 0.5: 0.9365708217620585, 0.6: 0.9373515783052676, 0.7: 0.9355756195287691, 0.8: 0.9300359268582434}"
119,0.00024742647851355997,4.201768207550049,1.9272702932357788,0.41537761092185976,4,0.15000000000000002,0.09719390517626053,0.939062820389062,0.699686770509727,0.9610864216784757,0.973408769424501,0.33973934568796094,0.6,"{0.2: 0.902049931575182, 0.3: 0.9253924926892972, 0.4: 0.9332528312702194, 0.5: 0.9380389846223767, 0.6: 0.939062820389062, 0.7: 0.9366742187732942, 0.8: 0.9312642830099056}"
4,0.0003,2.493919324874878,1.187881588935852,0.2632320404052734,1,0.9714285714285714,0.4041645328203837,0.8285478504420087,0.335511917464281,0.890679676296923,0.8711975382721915,1.289089001270244,0.6,"{0.2: 0.1320378760851454, 0.3: 0.1320333413050273, 0.4: 0.16856184159268736, 0.5: 0.7286277603999473, 0.6: 0.8285478504420087, 0.7: 0.7247003309962291, 0.8: 0.377025004185123}"
9,0.0002954445583636515,1.873316764831543,0.8865508079528809,0.2430839866399765,1,0.9357142857142857,0.32169742920459843,0.8801841666029869,0.4311686246261666,0.9277231268209035,0.9370969795292794,0.7753418093170542,0.6,"{0.2: 0.13204585247706835, 0.3: 0.14413259116457086, 0.4: 0.533086627609466, 0.5: 0.8345730297902241, 0.6: 0.8801841666029869, 0.7: 0.8544036554977666, 0.8: 0.7841973083774155}"
14,0.0002774275491977922,1.5820728540420532,0.7074872851371765,0.22825565040111542,1,0.9,0.31152675396356827,0.8835645984204865,0.4403889987167257,0.9302194415144243,0.9431379064340947,0.7536282800939403,0.6,"{0.2: 0.13205140282213984, 0.3: 0.16036285943347187, 0.4: 0.5719787139185658, 0.5: 0.8399534580492922, 0.6: 0.8835645984204865, 0.7: 0.8600868455368885, 0.8: 0.796866083366877}"
19,0.00024742647851355997,1.4831343173980713,0.6442728281021118,0.21460257470607758,1,0.8642857142857143,0.2929462263217339,0.8881855145817661,0.4552732237263518,0.9334199639704286,0.9538150202109228,0.718234876477228,0.6,"{0.2: 0.1320695366923421, 0.3: 0.2234064098409837, 0.4: 0.6467927750906809, 0.5: 0.8479691616350621, 0.6: 0.8881855145817661, 0.7: 0.8715106400356427, 0.8: 0.8189487599604386}"
24,0.0002083780601392783,2.747876787185669,1.2131426811218262,0.38404884934425354,2,0.8285714285714285,0.27252624967159367,0.8924229013523806,0.47182053992363393,0.9358654281681731,0.9582365407418436,0.6833884190022075,0.6,"{0.2: 0.1320946269314126, 0.3: 0.3387935380075471, 0.4: 0.7185359213899121, 0.5: 0.8580637218580919, 0.6: 0.8924229013523806, 0.7: 0.882049236166583, 0.8: 0.8384849226296257}"
29,0.00016410462533175042,2.621717357635498,1.1546948909759522,0.3527048170566559,2,0.7928571428571429,0.2529415969665234,0.8975081451351443,0.49128751552376426,0.9386727906794181,0.9609381071552102,0.6453461128732313,0.6,"{0.2: 0.132367348847723, 0.3: 0.44449001922483145, 0.4: 0.7742963163568579, 0.5: 0.8690724224203638, 0.6: 0.8975081451351443, 0.7: 0.8896360948730674, 0.8: 0.8523193187442311}"
34,0.00011893996636109602,2.5447593688964845,1.1282984495162964,0.3339631259441376,2,0.7571428571428571,0.2340985330251547,0.9011077949966616,0.5091751931450855,0.9404496771398252,0.9625185556364337,0.6147598608161806,0.6,"{0.2: 0.13503297439130563, 0.3: 0.5286918794524778, 0.4: 0.8130504946695702, 0.5: 0.8783946508929887, 0.6: 0.9011077949966616, 0.7: 0.8954872353019883, 0.8: 0.8645366779893704}"
39,7.730511472804544e-05,2.5203524112701414,1.1182636499404908,0.3195525109767914,2,0.7214285714285714,0.21653832915501717,0.9054481117956251,0.5247203199057212,0.9427332373653848,0.9647941556114895,0.5820863419245592,0.6,"{0.2: 0.14984380510320358, 0.3: 0.5977901536016572, 0.4: 0.8361068892022626, 0.5: 0.8876377524624204, 0.6: 0.9054481117956251, 0.7: 0.9004514571463833, 0.8: 0.8751265095237587}"
44,4.327557979751057e-05,3.5323644638061524,1.576496410369873,0.43607266545295714,3,0.6857142857142857,0.20032873902565393,0.9096512658114244,0.546636368443184,0.9447636562665855,0.9658708245818258,0.5491197382017715,0.6,"{0.2: 0.20446937242962582, 0.3: 0.6583850581503634, 0.4: 0.8557816984754228, 0.5: 0.8948037892336833, 0.6: 0.9096512658114244, 0.7: 0.9043035343439038, 0.8: 0.883479638426675}"
49,2.0182409546203555e-05,3.5389933586120605,1.5725913286209106,0.437432324886322,3,0.65,0.18590116271605858,0.913078893965159,0.5648658456824461,0.9463777226541017,0.9660267195456868,0.5232248824385959,0.6,"{0.2: 0.3177333547598899, 0.3: 0.720898265691669, 0.4: 0.8709767710184517, 0.5: 0.9009239948854196, 0.6: 0.913078893965159, 0.7: 0.907163311529379, 0.8: 0.8908354559662732}"
54,1.0286124377900624e-05,3.524070405960083,1.5719022512435914,0.43497962355613706,3,0.6142857142857143,0.17316762109597525,0.915832276808824,0.5828382234527635,0.9475824574669992,0.9660758446621807,0.5052131202088285,0.6,"{0.2: 0.4426568677340984, 0.3: 0.7883064566455674, 0.4: 0.8822102698254404, 0.5: 0.9053835277483281, 0.6: 0.915832276808824, 0.7: 0.9107781059794067, 0.8: 0.8949995749652723}"
